audio_id,transcripcion,clase
1,"Bueno, hoy estuvimos haciendo deshierbe en el lote porque ya estaba muy enmontado y eso afecta bastante el desarrollo del café.",evento_cultivo
2,"Mi nombre es Luis Fernando Taborda, soy productor de café en la vereda El Tambo, municipio de El Tambo, departamento del Cauca, Colombia. Actualmente manejo aproximadamente 7 hectáreas sembradas con variedad castillo bajo un sistema agroforestal con sombra de guavos y algunos frutales, trabajando con apoyo técnico para mejorar la producción.",registro_inicial
3,"entonces estamos aplicando fertilizante orgánico alrededor de la planta más o menos a unos treinta centímetros del tallo para que agarre bien",evento_cultivo
4,"Ayer estuvimos recogiendo cacao no mucho pero algo salió unas cuantas mazorcas buenas y otras dañadas que tocó separar",evento_cultivo
5,"Hola, me llamo Carlos Ramírez, soy productor de cacao en la zona rural del municipio de Pitalito, departamento del Huila. Tengo una finca de 3 hectáreas con variedad trinitario y manejo el cultivo bajo sombra con árboles forestales y plátano para proteger el suelo.",registro_inicial
6,"La broca está afectando bastante este año uno ve los granos perforados cuando camina la parcela y eso preocupa",evento_cultivo
7,"Hoy tocó limpieza con machete no usamos herbicidas porque dañan el suelo y afectan la vida microbiana",evento_cultivo
8,"Bueno, mi nombre es Ana Lucía Gómez, soy productora de café en la región de Marcala en Honduras. Actualmente cuento con unas 4 hectáreas en producción con variedad caturra bajo sombra de inga y frutales, buscando mantener un sistema sostenible.",registro_inicial
9,"estamos haciendo poda de renovación en los cafetales viejos ya no estaban produciendo bien y toca renovar",evento_cultivo
10,"La verdad el clima está raro mucha lluvia de golpe y luego sequía larga y eso afecta todo el cultivo",evento_cultivo
11,"Entonces en estos días estamos en cosecha de cacao cortando las mazorcas maduras y separando las que tienen enfermedad para no mezclar",evento_cultivo
12,"Me llamo Jorge Iván Atehortúa, soy productor de cacao en el departamento del Cauca, Colombia. Manejo aproximadamente 9 hectáreas bajo sistema agroforestal con variedades criollo y trinitario, combinando producción con conservación del suelo.",registro_inicial
13,"estamos aplicando bocashi para mejorar el suelo porque estaba muy pobre y sin nutrientes",evento_cultivo
14,"Hoy se hizo el despulpado del café quedó en los tanques para fermentación y mañana seguimos con el proceso",evento_cultivo
15,"Buenas, soy María Fernanda López, productora de café en Honduras, manejo unas 6 hectáreas con variedades tradicionales bajo sombra de árboles forestales y leguminosas.",registro_inicial
16,"Estamos viendo bastante roya en las hojas sobre todo en las partes bajas del cultivo y eso toca controlarlo",evento_cultivo
17,"entonces organizando el día hicimos recolección selectiva solo granos maduros para no bajar la calidad",evento_cultivo
18,"Mi nombre es Pedro Castillo, soy productor de cacao y actualmente tengo 2 hectáreas sembradas con manejo tradicional en sistema mixto.",registro_inicial
19,"Estamos regulando la sombra porque el lote estaba muy tapado y salieron hongos por la humedad",evento_cultivo
20,"Hoy no se pudo trabajar mucho por la lluvia estuvo muy fuerte todo el día",evento_cultivo
21,"Bueno en la finca estamos aplicando fertilización con compost y algo de guano para recuperar las plantas después de la cosecha",evento_cultivo
22,"Me llamo Juan Camilo Usme, soy productor cacaotero en Honduras y manejo alrededor de 5 hectáreas en producción con variedades comerciales.",registro_inicial
23,"estamos haciendo control manual de hierbas con machete y guadaña para no usar químicos",evento_cultivo
24,"Ayer revisamos el lote y encontramos presencia de moniliasis en varias plantas y eso hay que manejarlo rápido",evento_cultivo
25,"Hola, soy Andrés Pérez, cultivo café en una parcela de 3 hectáreas con variedad geisha buscando calidad en taza.",registro_inicial
26,"estamos preparando el terreno para nueva siembra limpiando y organizando surcos",evento_cultivo
27,"Hoy se hizo lavado del café después de la fermentación con agua limpia de la finca",evento_cultivo
28,"Mi nombre es Rosa Martínez, soy productora de cacao y tengo unas 8 hectáreas con variedad criollo bajo sombra de plátano y árboles nativos.",registro_inicial
